Katar;Ecuador;So., 20. November 2022;17:00 Uhr MEZ;al-Chaur (al-Bayt-Stadion);0:2
Senegal;Niederlande;Mo., 21. November 2022;17:00 Uhr MEZ;Doha (al-Thumama-Stadion);0:2
Katar;Senegal;Fr., 25. November 2022;14:00 Uhr MEZ;Doha (al-Thumama-Stadion);1:3
Niederlande;Ecuador;Fr., 25. November 2022;17:00 Uhr MEZ;ar-Rayyan (Khalifa International Stadium);1:1
Niederlande;Katar;Di., 29. November 2022;16:00 Uhr MEZ;al-Chaur (al-Bayt-Stadion);2:0
Ecuador;Senegal;Di., 29. November 2022;16:00 Uhr MEZ;ar-Rayyan (Khalifa International Stadium);1:2
England;Iran;Mo., 21. November 2022;14:00 Uhr MEZ;ar-Rayyan (Khalifa International Stadium);6:2
USA;Wales;Mo., 21. November 2022;20:00 Uhr MEZ;ar-Rayyan (Ahmed bin Ali Stadium);1:1
Wales;Iran;Fr., 25. November 2022;11:00 Uhr MEZ;ar-Rayyan (Ahmed bin Ali Stadium);0:2
England;USA;Fr., 25. November 2022;20:00 Uhr MEZ;al-Chaur (al-Bayt-Stadion);0:0
Wales;England;Di., 29. November 2022;20:00 Uhr MEZ;ar-Rayyan (Ahmed bin Ali Stadium);0:3
Iran;USA;Di., 29. November 2022;20:00 Uhr MEZ;Doha (al-Thumama-Stadion);0:1
Argentinien;Saudi-Arabien;Di., 22. November 2022;11:00 Uhr MEZ;Lusail (Lusail Iconic Stadium);1:2
Mexiko;Polen;Di., 22. November 2022;17:00 Uhr MEZ;Doha (Stadium 974);0:0
Polen;Saudi-Arabien;Sa., 26. November 2022;14:00 Uhr MEZ;ar-Rayyan (Education City Stadium);2:0
Argentinien;Mexiko;Sa., 26. November 2022;20:00 Uhr MEZ;Lusail (Lusail Iconic Stadium);2:0
Polen;Argentinien;Mi., 30. November 2022;20:00 Uhr MEZ;Doha (Stadium 974);0:2
Saudi-Arabien;Mexiko;Mi., 30. November 2022;20:00 Uhr MEZ;Lusail (Lusail Iconic Stadium);1:2
Dänemark;Tunesien;Di., 22. November 2022;14:00 Uhr MEZ;ar-Rayyan (Education City Stadium);0:0
Frankreich;Australien;Di., 22. November 2022;20:00 Uhr MEZ;al-Wakra (al-Janoub Stadium);4:1
Tunesien;Australien;Sa., 26. November 2022;11:00 Uhr MEZ;al-Wakra (al-Janoub Stadium);0:1
Frankreich;Dänemark;Sa., 26. November 2022;17:00 Uhr MEZ;Doha (Stadium 974);2:1
Tunesien;Frankreich;Mi., 30. November 2022;16:00 Uhr MEZ;ar-Rayyan (Education City Stadium);1:0
Australien;Dänemark;Mi., 30. November 2022;16:00 Uhr MEZ;al-Wakra (al-Janoub Stadium);1:0
Deutschland;Japan;Mi., 23. November 2022;14:00 Uhr MEZ;ar-Rayyan (Khalifa International Stadium);1:2
Spanien;Costa Rica;Mi., 23. November 2022;17:00 Uhr MEZ;Doha (al-Thumama-Stadion);7:0
Japan;Costa Rica;So., 27. November 2022;11:00 Uhr MEZ;ar-Rayyan (Ahmed bin Ali Stadium);0:1
Spanien;Deutschland;So., 27. November 2022;20:00 Uhr MEZ;al-Chaur (al-Bayt-Stadion);1:1
Japan;Spanien;Do., 1. Dezember 2022;20:00 Uhr MEZ;ar-Rayyan (Khalifa International Stadium);2:1
Costa Rica;Deutschland;Do., 1. Dezember 2022;20:00 Uhr MEZ;al-Chaur (al-Bayt-Stadion);2:4
Marokko;Kroatien;Mi., 23. November 2022;11:00 Uhr MEZ;al-Chaur (al-Bayt-Stadion);0:0
Belgien;Kanada;Mi., 23. November 2022;20:00 Uhr MEZ;ar-Rayyan (Ahmed bin Ali Stadium);1:0
Belgien;Marokko;So., 27. November 2022;14:00 Uhr MEZ;Doha (al-Thumama-Stadion);0:2
Kroatien;Kanada;So., 27. November 2022;17:00 Uhr MEZ;ar-Rayyan (Khalifa International Stadium);4:1
Kroatien;Belgien;Do., 1. Dezember 2022;16:00 Uhr MEZ;ar-Rayyan (Ahmed bin Ali Stadium);0:0
Kanada;Marokko;Do., 1. Dezember 2022;16:00 Uhr MEZ;Doha (al-Thumama-Stadion);1:2
Schweiz;Kamerun;Do., 24. November 2022;11:00 Uhr MEZ;al-Wakra (al-Janoub Stadium);1:0
Brasilien;Serbien;Do., 24. November 2022;20:00 Uhr MEZ;Lusail (Lusail Iconic Stadium);2:0
Kamerun;Serbien;Mo., 28. November 2022;11:00 Uhr MEZ;al-Wakra (al-Janoub Stadium);3:3
Brasilien;Schweiz;Mo., 28. November 2022;17:00 Uhr MEZ;Doha (Stadium 974);1:0
Kamerun;Brasilien;Fr., 2. Dezember 2022;20:00 Uhr MEZ;Lusail (Lusail Iconic Stadium);1:0
Serbien;Schweiz;Fr., 2. Dezember 2022;20:00 Uhr MEZ;Doha (Stadium 974);2:3
Uruguay;Südkorea;Do., 24. November 2022;14:00 Uhr MEZ;ar-Rayyan (Education City Stadium);0:0
Portugal;Ghana;Do., 24. November 2022;17:00 Uhr MEZ;Doha (Stadium 974);3:2
Südkorea;Ghana;Mo., 28. November 2022;14:00 Uhr MEZ;ar-Rayyan (Education City Stadium);2:3
Portugal;Uruguay;Mo., 28. November 2022;20:00 Uhr MEZ;Lusail (Lusail Iconic Stadium);2:0
Südkorea;Portugal;Fr., 2. Dezember 2022;16:00 Uhr MEZ;ar-Rayyan (Education City Stadium);2:1
Ghana;Uruguay;Fr., 2. Dezember 2022;16:00 Uhr MEZ;al-Wakra (al-Janoub Stadium);0:2
Niederlande;USA;Sa., 3. Dezember 2022;16:00 Uhr MEZ;ar-Rayyan (Khalifa International Stadium);3:1
Argentinien;Australien;Sa., 3. Dezember 2022;20:00 Uhr MEZ;ar-Rayyan (Ahmed bin Ali Stadium);2:1
Frankreich;Polen;So., 4. Dezember 2022;16:00 Uhr MEZ;al-Chaur (al-Bayt-Stadion);3:1
England;Senegal;So., 4. Dezember 2022;20:00 Uhr MEZ;Doha (al-Thumama-Stadion);3:0
Japan;Kroatien;Mo., 5. Dezember 2022;16:00 Uhr MEZ;al-Wakra (al-Janoub Stadium);
Brasilien;Südkorea;Mo., 5. Dezember 2022;20:00 Uhr MEZ;Doha (Stadium 974);
Marokko;Spanien;Di., 6. Dezember 2022;16:00 Uhr MEZ;ar-Rayyan (Education City Stadium);
Portugal;Schweiz;Di., 6. Dezember 2022;20:00 Uhr MEZ;Lusail (Lusail Iconic Stadium);
Gewinner AF 5;Gewinner AF 6;Fr., 9. Dezember 2022;16:00 MEZ;Lusail (Lusail Iconic Stadium);
Niederlande;Argentinien;Fr., 9. Dezember 2022;20:00 MEZ;ar-Rayyan (Education City Stadium);
Gewinner AF 7;Gewinner AF 8;Sa., 10. Dezember 2022;16:00 MEZ;al-Chaur (al-Bayt-Stadion);
England;Frankreich;Sa., 10. Dezember 2022;20:00 MEZ;Doha (al-Thumama-Stadion);
Gewinner VF 1;Gewinner VF 2;Di., 13. Dezember 2022;20:00 MEZ;Lusail (Lusail Iconic Stadium);
Gewinner VF 3;Gewinner VF 4;Mi., 14. Dezember 2022;20:00 MEZ;al-Chaur (al-Bayt-Stadion);
Verlierer HF 1;Verlierer HF 2;Sa., 17. Dezember 2022;16:00 MEZ;ar-Rayyan (Khalifa International Stadium);
Gewinner HF 1;Gewinner HF 2;18. Dezember 2022;16:00 MEZ;Lusail (Lusail Iconic Stadium);